Date,Heure,S2STemp,S2SHR
29/12/2017,04:00:01,0.3,99.6
29/12/2017,05:00:01,0.1,101.4
29/12/2017,06:00:01,0.3,103.1
29/12/2017,07:00:01,0.9,99.2
29/12/2017,08:00:01,0.6,101.2
29/12/2017,09:00:01,0.1,101.2
29/12/2017,10:00:01,0.8,101.4
29/12/2017,11:00:01,1.3,100
29/12/2017,12:00:01,1.4,105.1
29/12/2017,13:00:01,2.1,105.2
29/12/2017,14:00:01,3.6,103.6
29/12/2017,15:00:01,4.5,104.7
29/12/2017,16:00:01,5.3,104.9
29/12/2017,17:00:01,5.7,96.7
29/12/2017,18:00:01,6.2,89.8
29/12/2017,19:00:01,5.2,93.9
29/12/2017,20:00:01,5.1,92.2
29/12/2017,21:00:01,5.1,89.2
29/12/2017,22:00:01,4.4,92.8
29/12/2017,23:00:01,4.9,92.5
30/12/2017,00:00:01,5.3,90
30/12/2017,01:00:01,5.8,88.6
30/12/2017,02:00:01,6.2,92.2
30/12/2017,03:00:01,5.7,101.7
30/12/2017,04:00:01,5.7,103.6
30/12/2017,05:00:01,6.2,104.2
30/12/2017,06:00:01,6.9,104.7
30/12/2017,07:00:01,7.9,104.8
30/12/2017,08:00:01,9.9,103
30/12/2017,09:00:01,10.8,101.5
30/12/2017,10:00:01,12.2,94.2
30/12/2017,11:00:01,12.9,90.7
30/12/2017,12:00:01,14.8,83.4
30/12/2017,13:00:01,14.9,82.6
30/12/2017,14:00:01,14.9,81.6
30/12/2017,15:00:01,14.2,88.1
30/12/2017,16:00:01,12.8,101.1
30/12/2017,17:00:01,12.9,99.8
30/12/2017,18:00:01,13.1,97.7
30/12/2017,19:00:01,13.6,93.6
30/12/2017,20:00:01,13.8,92.3
30/12/2017,21:00:01,13.5,92.8
30/12/2017,22:00:01,13.4,90
30/12/2017,23:00:01,13.4,87.5
31/12/2017,00:00:01,12.9,91.6
31/12/2017,01:00:01,13.2,89.1
31/12/2017,02:00:01,13.1,84.5
31/12/2017,03:00:01,13,85.4
31/12/2017,04:00:01,12.9,85.7
31/12/2017,05:00:01,12.7,86
31/12/2017,06:00:01,12.5,88.5
31/12/2017,07:00:01,12.5,88.3
31/12/2017,08:00:01,12.6,86.5
31/12/2017,09:00:01,12.7,87
31/12/2017,10:00:01,13.4,81.3
31/12/2017,11:00:01,14,76.1
31/12/2017,12:00:01,13.9,75.5
31/12/2017,13:00:01,14.2,75.3
31/12/2017,14:00:01,14.7,72.2
31/12/2017,15:00:01,14.4,71.2
31/12/2017,16:00:01,13.9,72.6
31/12/2017,17:00:01,13.8,71.6
31/12/2017,18:00:01,12,81.4
31/12/2017,19:00:01,10,98.2
31/12/2017,20:00:01,9.6,96
31/12/2017,21:00:01,10,88.6
31/12/2017,22:00:01,9.7,85.6
31/12/2017,23:00:01,9.6,80.9
01/01/2018,00:00:01,9.5,79.4
01/01/2018,01:00:01,9,81
01/01/2018,02:00:01,8.8,77.7
01/01/2018,03:00:01,8.8,78
01/01/2018,04:00:01,8.1,78.3
01/01/2018,05:00:01,7.6,79.8
01/01/2018,06:00:01,7.3,80.9
01/01/2018,07:00:01,7.4,82.8
01/01/2018,08:00:01,7.1,83
01/01/2018,09:00:01,7.7,82.4
01/01/2018,10:00:01,7.7,83.6
01/01/2018,11:00:01,8,84.2
01/01/2018,12:00:01,6.2,101.9
01/01/2018,13:00:01,5.4,104.5
01/01/2018,14:00:01,6.3,104.1
01/01/2018,15:00:01,7,104.7
01/01/2018,16:00:01,7.7,103.8
01/01/2018,17:00:01,7.5,105
01/01/2018,18:00:01,7.5,104.5
01/01/2018,19:00:01,6.8,105.4
01/01/2018,20:00:01,6.7,105.2
01/01/2018,21:00:01,6.8,104.1
01/01/2018,22:00:01,6.4,93.9
01/01/2018,23:00:01,6.3,93.9
02/01/2018,00:00:01,6.2,92.8
02/01/2018,01:00:01,6.2,92.3
02/01/2018,02:00:01,6.2,92.8
02/01/2018,03:00:01,6.3,91.9
02/01/2018,04:00:01,5.9,93.3
02/01/2018,05:00:01,5.5,93.9
02/01/2018,06:00:01,5.8,94.6
02/01/2018,07:00:01,5.2,96.1
02/01/2018,08:00:01,5.1,95.1
02/01/2018,09:00:01,6,92.6
02/01/2018,10:00:01,6.5,93.2
02/01/2018,11:00:01,6.8,93.6
02/01/2018,12:00:01,6.8,93.5
02/01/2018,13:00:01,7.3,90.7
02/01/2018,14:00:01,7.2,89.9
02/01/2018,15:00:01,6.5,95.4
02/01/2018,16:00:01,6,101.9
02/01/2018,17:00:01,6.2,104.5
02/01/2018,18:00:01,6.5,104.7
02/01/2018,19:00:01,7.3,104.8
