Date,Heure,S2OTemp,S2OHR
18/12/2017,21:00:01,5.8,97.1
18/12/2017,22:00:01,5.7,96.2
18/12/2017,23:00:01,5.4,98.6
19/12/2017,00:00:01,5.2,98.5
19/12/2017,01:00:01,5,99.5
19/12/2017,02:00:01,4.8,100.3
19/12/2017,03:00:01,4.7,100.8
19/12/2017,04:00:01,4.1,102.4
19/12/2017,05:00:01,3.6,103.8
19/12/2017,06:00:01,3.3,104.3
19/12/2017,07:00:01,3.6,104.3
19/12/2017,08:00:01,3.7,103.4
19/12/2017,09:00:01,3.5,104
19/12/2017,10:00:01,3.6,104.1
19/12/2017,11:00:01,4.3,102.5
19/12/2017,12:00:01,4.9,102
19/12/2017,13:00:01,6.6,94.8
19/12/2017,14:00:01,7.8,88.6
19/12/2017,15:00:01,7.2,93.1
19/12/2017,16:00:01,5.8,98.6
19/12/2017,17:00:01,5.2,98.6
19/12/2017,18:00:01,5,99.7
19/12/2017,19:00:01,5,100.4
19/12/2017,20:00:01,4.8,100.6
19/12/2017,21:00:01,4.6,101.2
19/12/2017,22:00:01,4.4,100.4
19/12/2017,23:00:01,4.3,101.5
20/12/2017,00:00:01,4.3,102
20/12/2017,01:00:01,4.6,101.1
20/12/2017,02:00:01,4.5,101.8
20/12/2017,03:00:01,4.6,102.8
20/12/2017,04:00:01,4.8,103.8
20/12/2017,05:00:01,4.8,104.2
20/12/2017,06:00:01,4.9,105
20/12/2017,07:00:01,5.1,105.4
20/12/2017,08:00:01,5.3,105.5
20/12/2017,09:00:01,5.4,105.3
20/12/2017,10:00:01,5.7,105.6
20/12/2017,11:00:01,6.1,105
20/12/2017,12:00:01,6.5,104.9
20/12/2017,13:00:01,6.7,106.6
20/12/2017,14:00:01,7.1,105.3
20/12/2017,15:00:01,7.3,105.5
20/12/2017,16:00:01,7.4,105.5
20/12/2017,17:00:01,7.4,105.5
20/12/2017,18:00:01,7.4,106
20/12/2017,19:00:01,7.5,105.6
20/12/2017,20:00:01,7.3,105.6
20/12/2017,21:00:01,7.5,105
20/12/2017,22:00:01,7.5,105.4
20/12/2017,23:00:01,7.5,105.9
21/12/2017,00:00:01,7.4,105.6
21/12/2017,01:00:01,7.3,105.6
21/12/2017,02:00:01,7.2,105.6
21/12/2017,03:00:01,7.2,106
21/12/2017,04:00:01,7.2,105.8
21/12/2017,05:00:01,7.2,106.1
21/12/2017,06:00:01,7.3,106.1
21/12/2017,07:00:01,7.4,105.6
21/12/2017,08:00:01,7.5,106.2
21/12/2017,09:00:01,7.5,106
21/12/2017,10:00:01,7.7,106.6
21/12/2017,11:00:01,8,105.9
21/12/2017,12:00:01,8.5,105.5
21/12/2017,13:00:01,8.8,105
21/12/2017,14:00:01,9,104.7
21/12/2017,15:00:01,9.1,105
21/12/2017,16:00:01,9.2,105.4
21/12/2017,17:00:01,9.2,105.4
21/12/2017,18:00:01,9.3,105.4
21/12/2017,19:00:01,9.3,105.3
21/12/2017,20:00:01,9.3,105.5
21/12/2017,21:00:01,9.3,105.3
21/12/2017,22:00:01,9.5,105.3
21/12/2017,23:00:01,9.5,105.3
22/12/2017,00:00:01,9.6,105.4
22/12/2017,01:00:01,9.7,105.6
22/12/2017,02:00:01,9.5,105.5
22/12/2017,03:00:01,9,105.8
22/12/2017,04:00:01,8.7,105.5
22/12/2017,05:00:01,8.5,105.8
22/12/2017,06:00:01,8.3,106
22/12/2017,07:00:01,8.3,105.9
22/12/2017,08:00:01,8.3,104.4
22/12/2017,09:00:01,8.5,103.4
22/12/2017,10:00:01,8.7,102.9
22/12/2017,11:00:01,9.2,100.9
22/12/2017,12:00:01,9,103.1
22/12/2017,13:00:01,9,104.2
22/12/2017,14:00:01,9.2,105
22/12/2017,15:00:01,9.3,104.3
22/12/2017,16:00:01,9.2,103.7
22/12/2017,17:00:01,9.2,104
22/12/2017,18:00:01,9.2,104.1
22/12/2017,19:00:01,9,104.1
22/12/2017,20:00:01,8.9,104.7
22/12/2017,21:00:01,8.9,104.3
22/12/2017,22:00:01,8.8,104
22/12/2017,23:00:01,8.7,102.3
23/12/2017,00:00:01,8.7,100.3
23/12/2017,01:00:01,8.5,102
23/12/2017,02:00:01,8.4,103.4
23/12/2017,03:00:01,8.5,102.9
23/12/2017,04:00:01,8.4,102.8
23/12/2017,05:00:01,8.4,101.3
23/12/2017,06:00:01,8.5,97.5
23/12/2017,07:00:01,8.3,99.3
23/12/2017,08:00:01,8.5,98.7
23/12/2017,09:00:01,8.6,99.2
23/12/2017,10:00:01,8.5,102.2
23/12/2017,11:00:01,9,101.4
23/12/2017,12:00:01,8.9,104.4
23/12/2017,13:00:01,8.7,104.7
23/12/2017,14:00:01,9.4,96.9
23/12/2017,15:00:01,9,97.5
23/12/2017,16:00:01,8.8,100.1
23/12/2017,17:00:01,8.6,99
23/12/2017,18:00:01,8.3,100
